user,location,timezone,loc,text
366878528,LA Office/Menlo Park Office,,,RT @realDonaldTrump: Our thoughts and prayers are with everyone in the path of California’s wildfires. I encourage everyone to heed the adv…
892787003661725696,"Zebulon, GA",,,RT @realDonaldTrump: Our thoughts and prayers are with everyone in the path of California’s wildfires. I encourage everyone to heed the adv…
935677829857136640,,,,RT @realDonaldTrump: Our thoughts and prayers are with everyone in the path of California’s wildfires. I encourage everyone to heed the adv…
919135494222487552,"Haryana, India",,,RT @realDonaldTrump: Our thoughts and prayers are with everyone in the path of California’s wildfires. I encourage everyone to heed the adv…
1455890449,"San Antonio, TEXAS",,,RT @realDonaldTrump: Our thoughts and prayers are with everyone in the path of California’s wildfires. I encourage everyone to heed the adv…
1692555433,America,,,RT @realDonaldTrump: Our thoughts and prayers are with everyone in the path of California’s wildfires. I encourage everyone to heed the adv…
1003047740,,,,RT @realDonaldTrump: Our thoughts and prayers are with everyone in the path of California’s wildfires. I encourage everyone to heed the adv…
804500517804064768,TEXAS ,Pacific Time (US & Canada),,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!
457745190,"Elkhorn, NE",,,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!
828157598440550400,,,,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!
937091096714326023,"Pinecrest, FL",,,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!
830860793713418241,"Houston, TX",,,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!
18626877,,,,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!
1039329378,,Pacific Time (US & Canada),,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!
936467648057094144,,,,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!
33191087,Miami,Eastern Time (US & Canada),,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!
803418189778468864,"Mexico, MO",,,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!
934875817653538817,"Scott Township, PA",,,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!
142010045,,Atlantic Time (Canada),,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!
212835074,California,Pacific Time (US & Canada),,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!
824234244553592833,"McAllen, Texas",,,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!
389680957,"New York, NY",Eastern Time (US & Canada),,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!
587721611,"Rock Hill, SC",,,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!
142010045,,Atlantic Time (Canada),,"RT @realDonaldTrump: Join me this Friday in Pensacola, Florida at the Pensacola Bay Center! Tickets: https://t.co/zA7SGgWqBE https://t.co/Q…"
925730928235831297,"Pittston, PA",Eastern Time (US & Canada),,"RT @realDonaldTrump: Join me this Friday in Pensacola, Florida at the Pensacola Bay Center! Tickets: https://t.co/zA7SGgWqBE https://t.co/Q…"
396231754,"Huntsville, AL",Central Time (US & Canada),,"RT @realDonaldTrump: Join me this Friday in Pensacola, Florida at the Pensacola Bay Center! Tickets: https://t.co/zA7SGgWqBE https://t.co/Q…"
723223725794054145,"Mississippi, USA",,,"RT @realDonaldTrump: Join me this Friday in Pensacola, Florida at the Pensacola Bay Center! Tickets: https://t.co/zA7SGgWqBE https://t.co/Q…"
1692555433,America,,,"RT @realDonaldTrump: Join me this Friday in Pensacola, Florida at the Pensacola Bay Center! Tickets: https://t.co/zA7SGgWqBE https://t.co/Q…"
905808521815617536,Dominican Republic,,,"RT @realDonaldTrump: Join me this Friday in Pensacola, Florida at the Pensacola Bay Center! Tickets: https://t.co/zA7SGgWqBE https://t.co/Q…"
2558835048,We have a great President. Thank_You_My_Freinds,Eastern Time (US & Canada),,"RT @realDonaldTrump: Join me this Friday in Pensacola, Florida at the Pensacola Bay Center! Tickets: https://t.co/zA7SGgWqBE https://t.co/Q…"
805074778230927360,USA,,,"RT @realDonaldTrump: Join me this Friday in Pensacola, Florida at the Pensacola Bay Center! Tickets: https://t.co/zA7SGgWqBE https://t.co/Q…"
811601875,,Atlantic Time (Canada),,"RT @realDonaldTrump: Join me this Friday in Pensacola, Florida at the Pensacola Bay Center! Tickets: https://t.co/zA7SGgWqBE https://t.co/Q…"
36130764,,,,"RT @realDonaldTrump: Join me this Friday in Pensacola, Florida at the Pensacola Bay Center! Tickets: https://t.co/zA7SGgWqBE https://t.co/Q…"
759051618625032193,"Florida, USA",Eastern Time (US & Canada),,"RT @realDonaldTrump: Join me this Friday in Pensacola, Florida at the Pensacola Bay Center! Tickets: https://t.co/zA7SGgWqBE https://t.co/Q…"
534113858,,,,"RT @realDonaldTrump: Join me this Friday in Pensacola, Florida at the Pensacola Bay Center! Tickets: https://t.co/zA7SGgWqBE https://t.co/Q…"
